Name	Molecular form	Microbe	Strain	Target	PubMed ID
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one"	C20H14O3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one"	C20H14O3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one"	C20H14O3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one"	C20H14O3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(1 ,3 -benzodioxol-5-yl)-3-(2-naphthyl)-2-propen-1-one"	C20H14O3	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C19H12ClNO3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C19H12ClNO3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C19H12ClNO3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C19H12ClNO3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C19H12ClNO3	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one"	C20H13NO6	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one"	C20H13NO6	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one"	C20H13NO6	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one"	C20H13NO6	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(1,3-benzodioxol-5-yl)-3-[5-(2-nitro-phenyl)-furan-2-yl]-2-propen-1-one"	C20H13NO6	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one"	C22H20ClNO5	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one"	C22H20ClNO5	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one"	C22H20ClNO5	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one"	C22H20ClNO5	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-6-methoxy-quinolin-3-yl)-2-propen-1-one"	C22H20ClNO5	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C21H18ClNO4	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C21H18ClNO4	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C21H18ClNO4	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C21H18ClNO4	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-chloro-quinolin-3-yl)-2-propen-1-one"	C21H18ClNO4	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(2 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one"	C24H22F3NO3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one"	C24H22F3NO3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one"	C24H22F3NO3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one"	C24H22F3NO3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(2 ,5 -dimethoxyphenyl)-3-[2,5-dimethyl-1-(3-trifluoromethyl-phenyl)-1H-pirrol-3-yl]-2-propen-1-one"	C24H22F3NO3	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(3 ,4 ,5 -trimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C22H20O4	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(3 ,4 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-1-(3 ,5 -dimethoxyphenyl)-3-(2-naphthyl)-2-propen-1-one"	C21H18O3	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Enterococcus faecalis	ATCC 19433	N/A	24016798
(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Staphylococcus aureus	ATCC 25923	N/A	24016798
(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
(2E)-1-(3 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Enterococcus faecalis	ATCC 19433	N/A	24016798
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Staphylococcus aureus	ATCC 25923	N/A	24016798
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
(2E)-1-(4 -methoxyphenyl)-3-(2-naphthyl)-2-propen-1-one	C20H16O2	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C21H17ClO3S	Enterococcus faecalis	ATCC 19433	N/A	24016798
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C21H17ClO3S	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C21H17ClO3S	Staphylococcus aureus	ATCC 25923	N/A	24016798
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C21H17ClO3S	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
(2E)-1-(5-clorotiophen-2-yl)-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C21H17ClO3S	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one	C22H16N2O	Enterococcus faecalis	ATCC 19433	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one	C22H16N2O	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one	C22H16N2O	Staphylococcus aureus	ATCC 25923	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one	C22H16N2O	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(2-naphthyl)-2-propen-1-one	C22H16N2O	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C26H22N2O3	Enterococcus faecalis	ATCC 19433	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C26H22N2O3	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C26H22N2O3	Staphylococcus aureus	ATCC 25923	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C26H22N2O3	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
(2E)-1-[4 -(1H-imidazol-1-yl)phenyl]-3-(3-methoxy-4-benzyloxi-phenyl)-2-propen-1-one	C26H22N2O3	Streptococcus mutans	ATCC 25175	N/A	24016798
(2E)-1-[4-(3-nitropyridin-2-yl)piperazin-1-yl]-3-phenylprop-2-en-1-one	C18H18N4O3	Candida albicans	ATCC 10231	N/A	27838185
(2E)-1-[4-(4-nitrophenyl)piperazin-1-yl]-3-phenylprop-2-en-1-one	C19H19N3O3	Candida albicans	ATCC 10231	N/A	27838185
(2E)-3-(3-hydroxy-4-methoxyphenyl)-1-phenylprop-2-en-1-one	C16H14O3	Haemophilus influenzae	NU7	N/A	25154700
(2E)-3-(3-hydroxy-4-methoxyphenyl)-1-phenylprop-2-en-1-one	C16H14O3	Haemophilus influenzae	NU38	N/A	25154700
(2E)-3-(3-hydroxy-4-methoxyphenyl)-1-phenylprop-2-en-1-one	C16H14O3	Haemophilus influenzae	NU48	N/A	25154700
(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one	C16H14O3	Haemophilus influenzae	NU7	N/A	25154700
(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one	C16H14O3	Haemophilus influenzae	NU38	N/A	25154700
(2E)-3-(4-Hydroxy-3-methoxyphenyl)-1-phenyl-2-propen-1-one	C16H14O3	Haemophilus influenzae	NU48	N/A	25154700
"(2E)-5-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-formylpent-2-enoic acid"	C20H30O3	Staphylococcus aureus	ATCC 43300 (MRSA)	N/A	28692914
"(2E)-5-[(1S,2R,4aR,8aR)-1,2,4a,5-tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-formylpent-2-enoic acid"	C20H30O3	Streptococcus mutans	ATCC 25175	N/A	28692914
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide"	C17H17BrN2O5	Enterococcus faecalis	ATCC 19433	N/A	24016798
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide"	C17H17BrN2O5	Pseudomonas aeruginosa	ATCC 25923	N/A	24016798
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide"	C17H17BrN2O5	Staphylococcus aureus	ATCC 25923	N/A	24016798
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide"	C17H17BrN2O5	Staphylococcus epidermidis	ATCC 35547	N/A	24016798
"(2E)-N -(2 -hydroxy-5 -bromo-benzilidene)-3,4,5-trimethoxybenzohydrazide"	C17H17BrN2O5	Streptococcus mutans	ATCC 25175	N/A	24016798
"(2E)-N-(6-nitro-1,3-benzothiazol-2-yl)-3-phenylprop-2-enamide"	C16H11N3O3S	Candida albicans	ATCC 10231	N/A	27838185
(2E)-N-[3-(1H-imidazol-1-yl)propyl]-3-phenylprop-2-enamide	C15H17N3O	Candida albicans	ATCC 10231	N/A	27838185
(2E)-N-[3-(1H-indol-3-yl)propyl]-3-phenylprop-2-enamide	C20H20N2O	Candida albicans	ATCC 10231	N/A	27838185
(2-methyl-5-nitro-1H-imidazol-1-yl)methyl (2E)-3-phenylprop-2-enoate	C14H13N3O4	Candida albicans	ATCC 10231	N/A	27838185
"(2R)-2-amino-3-(2,3-dihydro-1H-inden-2-yl)propanoic acid"	C12H15NO2	Staphylococcus aureus	SC01	N/A	25658642
"(2R)-2-amino-3-(2,3-dihydro-1H-inden-2-yl)propanoic acid"	C12H15NO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
"(2R)-2-amino-3-(2,3-dihydro-1H-inden-2-yl)propanoic acid"	C12H15NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2R)-2-amino-3-(2-phenylethanesulfinyl)propanoic acid	C11H15NO3S	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-3-(2-phenylethanesulfinyl)propanoic acid	C11H15NO3S	Streptococcus mutans	UA159	N/A	25081571
(2R)-2-amino-3-(benzenesulfinyl)propanoic acid	C9H11NO3S	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-3-(benzenesulfinyl)propanoic acid	C9H11NO3S	Streptococcus mutans	UA159	N/A	25081571
(2R)-2-amino-3-(benzenesulfinyl)propanoic acid	C9H11NO3S	Streptococcus sanguis	10556	N/A	25081571
(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid	C7H9NO3S2	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid	C7H9NO3S2	Streptococcus mutans	UA159	N/A	25081571
(2R)-2-amino-3-(thiophene-2-sulfinyl)propanoic acid	C7H9NO3S2	Streptococcus sanguis	10556	N/A	25081571
(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid	C10H12ClNO3S	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid	C10H12ClNO3S	Streptococcus mutans	UA159	N/A	25081571
(2R)-2-amino-3-[(4-chlorophenyl)methanesulfinyl]propanoic acid	C10H12ClNO3S	Streptococcus sanguis	10556	N/A	25081571
(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid	C11H15NO3S	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid	C11H15NO3S	Streptococcus mutans	UA159	N/A	25081571
(2R)-2-amino-3-[(4-methylphenyl)methanesulfinyl]propanoic acid	C11H15NO3S	Streptococcus sanguis	10556	N/A	25081571
(2R)-2-amino-3-phenylmethanesulfinylpropanoic acid	C10H13NO3S	Actinomyces oris	MG1	N/A	25081571
(2R)-2-amino-4-phenylbutanoic acid	C10H13NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2R)-2-amino-5-(1-nitrocarbamimidamido)pentanoic acid	C6H13N5O4	Staphylococcus aureus	ATCC 25923	N/A	25658642
(2R)-2-amino-5-(1-nitrocarbamimidamido)pentanoic acid	C6H13N5O4	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2R)-2-amino-6-acetamidohexanoic acid	C8H16N2O3	Staphylococcus aureus	ATCC 25923	N/A	25658642
(2R)-2-amino-6-acetamidohexanoic acid	C8H16N2O3	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid"	C10H11NO2	Staphylococcus aureus	SC01	N/A	25658642
"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid"	C10H11NO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
"(2R,3E)-2-Amino-4-phenyl-3-butenoic acid"	C10H11NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid"	C6H8N2O2S	Staphylococcus aureus	SC01	N/A	25658642
"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid"	C6H8N2O2S	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2S)-2-amino-3-(4-tert-butylphenyl)propanoic acid	C13H19NO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid	C7H15NO2S	Staphylococcus aureus	ATCC 25923	N/A	25658642
(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid	C7H15NO2S	Staphylococcus epidermis	ATCC 12228	N/A	25658642
(2S)-2-amino-4-bromopent-4-enoic acid	C5H8BrNO2	Staphylococcus aureus	SC01	N/A	25658642
(2S)-2-amino-4-bromopent-4-enoic acid	C5H8BrNO2	Staphylococcus aureus	ATCC 25923	N/A	25658642
(2S)-2-amino-4-bromopent-4-enoic acid	C5H8BrNO2	Staphylococcus epidermis	ATCC 12228	N/A	25658642
"(2S,3R,4S,5S,6R)-3-(2-(1H-Indol-3-yl)acetamido)-6-(acetoxymethyl)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C23H28N2O10	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-(trifluoromethyl)phenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyltriacetate"	C22H24F3NO10	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-bromophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C21H24BrNO10	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-chlorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C21H24ClNO10	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-fluorophenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C21H24FNO10	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(2-(4-methoxyphenyl)acetamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C22H27NO11	Pseudomonas aeruginosa	PA14	N/A	28049617
"(2S,3R,4S,5S,6R)-6-(Acetoxymethyl)-3-(3-oxohexanamido)tetrahydro-2H-pyran-2,4,5-triyl triacetate"	C19H27NO11	Pseudomonas aeruginosa	PA14	N/A	28049617
